ID_PESQUISA;PESQUISA_NOME;ID_AGREGADO;AGREGADO_NOME;AGREG_ASSUNTO;AGREG_URL;ID_VARIAVEL;VARIAVEL_NOME;VAR_UNIDADE;ID_CLASSIFICACAO;CLASSIFICACAO_NOME;ID_CATEGORIA;CATEGORIA_NOME;ID_NIVEL_LOCALIDADE;NIVEL_LOCALIDADE_NOME;ID_LOCALIDADE;NOME_LOCALIDADE;PERIODO;VALOR
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93070;Total | Total | 0 a 4 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;27214
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93084;Total | Total | 5 a 9 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;30359
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93085;Total | Total | 10 a 14 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;30713
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93086;Total | Total | 15 a 19 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;31322
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93087;Total | Total | 20 a 24 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;33828
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93088;Total | Total | 25 a 29 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;33224
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93089;Total | Total | 30 a 34 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;34015
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93090;Total | Total | 35 a 39 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;36367
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93091;Total | Total | 40 a 44 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;36915
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93092;Total | Total | 45 a 49 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;31391
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93093;Total | Total | 50 a 54 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;29109
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93094;Total | Total | 55 a 59 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;26421
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93095;Total | Total | 60 a 64 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;22769
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93096;Total | Total | 65 a 69 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;17970
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93097;Total | Total | 70 a 74 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;12711
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93098;Total | Total | 75 a 79 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;8084
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 49108;Total | Total | 80 a 84 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;5093
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 49109;Total | Total | 85 a 89 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;2652
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 60040;Total | Total | 90 a 94 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;1037
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 60041;Total | Total | 95 a 99 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;274
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 6653;Total | Total | 100 anos ou mais;N6;Município;3530607;Mogi das Cruzes (SP);2022;37
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;4 | 95251 | 100362;Homens | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;217185
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;2 | 86 | 287;Sexo | Cor ou raça | Idade;5 | 95251 | 100362;Mulheres | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;234320
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93070;Total | Total | 0 a 4 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;6.03
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93084;Total | Total | 5 a 9 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;6.72
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93085;Total | Total | 10 a 14 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;6.80
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93086;Total | Total | 15 a 19 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;6.94
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93087;Total | Total | 20 a 24 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;7.49
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93088;Total | Total | 25 a 29 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;7.36
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93089;Total | Total | 30 a 34 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;7.53
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93090;Total | Total | 35 a 39 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;8.05
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93091;Total | Total | 40 a 44 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;8.18
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93092;Total | Total | 45 a 49 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;6.95
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93093;Total | Total | 50 a 54 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;6.45
