ID_CLASSIFICACAO;CLASSIFICACAO_NOME
12405;Sexo da pessoa de referência do domicílio
12406;Tipo de insegurança alimentar
12407;Situação de ocupação no período de referência de 365 dias
12408;Anos de estudo da pessoa de referência do domicílio
1244;Existência de atividades de proteção de defesa civil promovidas pelo município
12440;Grupos e classes de atividade
12441;Condição dos produtores
12443;Espécie da pecuária
12444;Tipo de produção animal
12445;Tipo de produção vegetal
12446;Classe de tamanho da população do município
12447;Partido político do prefeito
12448;Indicativo se o prefeito exercia mandato no último ano da legislatura anterior
12449;Sexo do prefeito
1245;Local de atendimento médico
12450;Grupos de idade do prefeito
12451;Nível de instrução do prefeito
1246;Existência de alguma medida de isolamento social em virtude da pandemia da COVID-19 e de sistema de monitoramento
1248;Existência de barreiras sanitárias nas entradas dos municípios durante o período da pandemia da COVID-19
12482;Tipo de recurso hídrico
1249;Existência de medida para regulamentar sanções (multas, realização compulsória de exames etc.) em caso de desrespeito as normas de isolamento social
12494;Condição de economicamente ativa e de ocupada na semana de referência
12495;Condição de atividade na semana de referência da pessoa de referência da família
12496;Condição de atividade na semana de referência das pessoas de referência dos domicílios
12498;Classes de rendimento mensal familiar per capita
125;Tipo de domicílio
12504;Modalidade de oferta do curso
12507;Forma de obtenção do produto ou serviço
12508;Grupos de idade da pessoa de referência da família
12509;Posição na ocupação principal da pessoa de referência da família
1251;Frequência de violência
12510;Categoria socioprofissional principal da pessoa de referência da família
12511;Anos de estudo da pessoa de referência da família
12512;Existência de pessoa com nível superior na família
12513;Cor ou raça da pessoa de referência da família
12514;Religião da pessoa de referência da família
12515;Composição da família
12517;Grupos de atividade econômica
12518;Grupos de área cortada
12519;Produtos da floricultura
1252;Implementação de ações durante a pandemia da COVID-19
12520;Uso de irrigação
12521;Uso de agrotóxicos
12522;Uso de adubação
12523;Grupos de área colhida
12524;Tipo de colheita
12525;Principal mês da colheita
12526;Principal mês do plantio
12528;Produtos da agroindústria rural
12529;Tipo de inspeção
1253;Implementação de ações para assegurar a proteção social das famílias e indivíduos em situação de risco e/ou vulnerabilidade social
1254;Ocorrência de casos confirmados clinicamente ou laboratorialmente de COVID-19 no município
12541;Motivo da não obtenção do financiamento
12542;Agente financeiro responsável pelo financiamento
12543;Finalidade do financiamento
12544;Recursos provenientes de programas governamentais de crédito
12545;Tipo de bem
12546;Credor
12547;Tipo de produção
12548;Orientação técnica
12549;Uso de calcário e/ou outros corretivos do pH do solo
12550;Tipo de semente
12551;Classe de idade da pessoa que dirige o estabelecimento
12552;Nível de instrução da pessoa que dirige o estabelecimento
12553;Residência da pessoa que dirige o estabelecimento
12554;Existência de CNPJ
12556;Direção do estabelecimento
12557;Naturalidade ou nacionalidade da pessoa que dirige o estabelecimento
12559;Condição legal do produtor
1256;Necessidade de ampliação do número de leitos para atender à demanda por internação no município em virtude da COVID-19
12563;Tipo de eletrodoméstico utilizado
12564;Sexo do produtor
12566;Sexo da pessoa que dirige o estabelecimento (produtor ou administrador)
12567;Origem da orientação técnica recebida
12568;Tipo de prática agrícola
1257;Existência de hospital de campanha durante a pandemia de COVID-19
12570;Tipo de intermediador
12571;Finalidade do serviço contratado
12572;Classes de dias de utilização da mão-de-obra com intermediação de empreiteiro
12573;Classes de dias trabalhados
12576;Principais aspectos em relação ao pessoal ocupado
12577;Grupos de pessoas da família
12578;Tipo de pessoal ocupado
12579;Classes de diárias pagas
1258;Ocorrência de óbito dentre as pessoas que contraíram a COVID-19
12580;Meses de contratação
12581;Tipo de fonte de energia elétrica
12582;Local de uso da energia elétrica
12583;Tipo de força de tração animal e/ou mecânica
12584;Procedência da força animal e/ou mecânica
12585;Sistema de preparo do solo
12586;Produtos utilizados na adubação
12588;Local onde foi feita a adubação
1259;Rodízio na circulação de automóveis, motocicletas, ônibus ou outro transporte público ou privado no período da pandemia da COVID-19
12590;Uso de equipamento de proteção
12591;Pessoas intoxicadas
12592;Destino das embalagens
12594;Tipo de alternativa para controle de pragas e/ou doenças em vegetais
12595;Uso de agricultura orgânica
12596;Tipo de equipamento utilizado na aplicação do agrotóxico
12598;Associação do produtor à cooperativa e/ou à entidade de classe
126;Material das paredes
1260;Agressor da única ocorrência ou a mais grave
12601;Classes de dias de utilização de serviço de empreitada
12602;Fonte de água utilizada
12603;Grupos de área de lavoura
12604;Método utilizado para irrigação
12605;Potência dos tratores
12606;Tipo de máquina e implemento agrícola
12607;Tipo de meio de transporte
12609;Tempo em que o produtor dirige o estabelecimento
1261;Local da única ocorrência ou a mais grave
12610;Tipo de depósito e/ou silo
12612;Tipo de combustível consumido
12614;Condição dos empregados
12617;Pronafiano
1262;Frequência do manuseio
12625;Grupos de área de pastagem
12626;Movimento pecuário de bovinos no ano
12627;Composição do efetivo de bovinos nos estabelecimentos agropecuários com mais de 50 cabeças em 31/12
12628;Local onde ocorreu o tratamento de esterco dos animais
1263;Meio de transporte no acidente mais grave
1264;Classes das atividades industriais e produtos - Prodlist 2016, Prodlist 2019 e Prodlist 2022
12644;Movimento pecuário de bovinos nos estabelecimentos agropecuários com mais de 50 cabeças em 31/12
12645;Movimento pecuário de bovinos vendidos nos estabelecimentos agropecuários com mais de 50 cabeças em 31/12
12646;Tipos de insumos pagos pelo integrador
12649;Grupos de cabeças de suínos
1265;Tempo de deslocamento por dia
12650;Plantel de suínos
12651;Movimento do rebanho suíno no ano
12653;Grupos de cabeças de galinhas, galos, frangos, frangas e pintos
12654;Movimento de aves no ano
12655;Composição das aves em 31/12
12657;Movimento de outras aves no ano
12658;Espécies de outras aves
1266;Frequência que trabalhava por 24 horas seguidas
12664;Principal motivo de não ter comparecido à creche ou escola
12665;Classificação das entidades sem fins lucrativos
12666;Tipo de entidade sem fins lucrativos
1267;Exposição a algum fator que poderia afetar a sua saúde
12674;Tipo de programa social do governo
12676;Recebimento de dinheiro de programa social do governo no mês de referência e tipo de programa social do governo
12677;Características existentes nos domicílios
12678;Tipo de substância destruidora da camada de ozônio
12679;Tipo de poluente
1268;Com quem podia contar em momentos bons ou ruins
