ID_PESQUISA;PESQUISA_NOME;ID_AGREGADO;AGREGADO_NOME;AGREGADO_ASSUNTO;AGREGADO_URL;ID_VARIAVEL;VARIAVEL_NOME;VAR_UNIDADE;ID_CLASSIFICACAO;CLASSIFICACAO_NOME;ID_CATEGORIA;CATEGORIA_NOME;ID_NIVEL_LOCALIDADE;NIVEL_LOCALIDADE_NOME;ID_LOCALIDADE;NOME_LOCALIDADE;PERIODO;VALOR
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;287 | 2 | 86;Idade | Sexo | Cor ou raça;6618 | 6794 | 95251;65 anos | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;4131
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;4 | 95251 | 100362;Homens | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;48.10
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;5 | 95251 | 100362;Mulheres | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;51.90
CD;Censo Demográfico;9756;Índice de envelhecimento, idade mediana e razão de sexo, por cor ou raça;Cor ou raça;https://sidra.ibge.gov.br/tabela/9756;10613;Idade mediana;Anos;86;Cor ou raça;95251;Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;35
CD;Censo Demográfico;9936;Domicílios particulares permanentes ocupados, por existência de conexão domiciliar à Internet, condição de ocupação do domicílio e tipo do domicílio;Características do domicílio;https://sidra.ibge.gov.br/tabela/9936;1000381;Domicílios particulares permanentes ocupados - percentual do total geral;Percentual;2072 | 63 | 125;Existência de conexão domiciliar à Internet | Condição de ocupação do domicílio | Tipo de domicílio;77585 | 95826 | 2932;Sim | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;89.63
RC;Pesquisa Estatísticas do Registro Civil;2609;Nascidos vivos, por ano de nascimento, grupos de idade da mãe na ocasião do parto, sexo e lugar de residência da mãe;Nascidos vivos;https://sidra.ibge.gov.br/tabela/2609;217;Nascidos vivos registrados no ano;Pessoas;232 | 2 | 240;Ano de nascimento | Sexo | Idade da mãe na ocasião do parto;71500 | 0 | 0;2022 | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;5377
RC;Pesquisa Estatísticas do Registro Civil;2681;Óbitos, ocorridos no ano, por mês de ocorrência, natureza do óbito, sexo, idade, local de ocorrência e lugar do registro;Óbitos;https://sidra.ibge.gov.br/tabela/2681;343;Número de óbitos ocorridos no ano;Pessoas;260 | 2 | 244 | 257 | 1836;Idade do(a) falecido(a) | Sexo | Mês de ocorrência | Local de ocorrência | Natureza do óbito;5922 | 0 | 0 | 0 | 0;Menos de 1 ano | Total | Total | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;60
CL;Cadastro Central de Empresas;9509;Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal;Unidades locais;https://sidra.ibge.gov.br/tabela/9509;707;Pessoal ocupado total;Pessoas;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;141411
CL;Cadastro Central de Empresas;9509;Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal;Unidades locais;https://sidra.ibge.gov.br/tabela/9509;1606;Salário médio mensal;Salários mínimos;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;2.5
CL;Cadastro Central de Empresas;9509;Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal;Unidades locais;https://sidra.ibge.gov.br/tabela/9509;10143;Salário médio mensal em reais;Reais;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;2987.02
CD;Censo Demográfico;4714;População Residente, Área territorial e Densidade demográfica;Território;https://sidra.ibge.gov.br/tabela/4714;93;População residente;Pessoas;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;451505
CD;Censo Demográfico;4714;População Residente, Área territorial e Densidade demográfica;Território;https://sidra.ibge.gov.br/tabela/4714;6318;Área da unidade territorial;Quilômetros quadrados;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;712.541
CD;Censo Demográfico;4714;População Residente, Área territorial e Densidade demográfica;Território;https://sidra.ibge.gov.br/tabela/4714;614;Densidade demográfica;Habitante por quilômetro quadrado;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;633.65
CD;Censo Demográfico;9515;Índice de envelhecimento, idade mediana e razão de sexo da população;Pessoas;https://sidra.ibge.gov.br/tabela/9515;10612;Índice de envelhecimento;Razão;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;54.21
